data	avg_judgment_no	kri_titare,mean_others	kri_full	kri_alexandra_w,titare	kri_alexandra_w,mean_others	kri_HelleBol,titare	kri_HelleBol,mean_others	kri_HelleBol,alexandra_w	kri2_full	kri2_alexandra_w,titare	kri2_HelleBol,titare	kri2_HelleBol,alexandra_w	spr_titare,mean_others	spr_mean_weighted	spr_mean	spr_alexandra_w,titare	spr_alexandra_w,mean_others	spr_HelleBol,titare	spr_HelleBol,mean_others	spr_HelleBol,alexandra_w	ham_titare,mean_others	ham_mean_weighted	ham_mean	ham_alexandra_w,titare	ham_alexandra_w,mean_others	ham_HelleBol,titare	ham_HelleBol,mean_others	ham_HelleBol,alexandra_w	overlap_alexandra_w,titare	overlap_HelleBol,titare	overlap_HelleBol,alexandra_w	judgments_HelleBol	judgments_alexandra_w	judgments_titare	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
full	1.7777092836888178	0.7791029110540075	0.7610427459792881	0.7474104397048758	0.7464217057369178	0.8177911824842038	0.7764527965195207	0.7375585458625151	0.7654510061072353	0.7370340190593371	0.8255113808853074	0.7621862415623619	0.7896792099432869	0.7748664165008314	0.7775450692509894	0.7491817876490614	0.7461568506034891	0.8354500526890003	0.7929852281815629	0.7480033674149067	nan	0.7316873773708306	0.7313772294963754	0.7498869289914065	nan	0.7360735532720389	nan	0.7081712062256809	2211	1849	2056	4380	5152	4887	14419	2741	1014	1298	7528	1838
anfektelse	1.9454545454545455	0.38509842348527445	0.38378771726463334	0.2911060846543998	0.3133684461180194	0.5432204057548629	0.50775103547084	0.46374294398610516	0.5628737046995753	0.4298950272635208	0.6377308435600141	0.7191743973332319	0.44641126480914667	0.4715252753785228	0.47902261579526106	0.3413004683747003	0.34154097710805276	0.6370356680855184	0.538935368920235	0.45873171092556453	nan	0.5028571428571429	0.5256642512077295	0.34782608695652173	nan	0.5	nan	0.7291666666666667	69	58	48	103	122	203	428	44	19	130	159	76
bit	2.303964757709251	0.8617929310989628	0.843671185372005	0.7814467096712006	0.7834202842558609	0.901478356610048	0.8571950395972743	0.7316857496177825	0.8255518420433764	0.7631302558774334	0.882138912601639	0.7324540102171965	0.8827524668098224	0.8255652766564969	0.8207454711247929	0.7959818366804852	0.7848428174391631	0.908537331752923	0.8626601208323388	0.7577172449409706	nan	0.7	0.6961520947176685	0.6557377049180328	nan	0.7868852459016393	nan	0.6458333333333333	61	61	48	160	161	202	523	154	30	41	70	228
bølge	1.681592039800995	0.5058976950013818	0.46480166353934405	0.36833454783072317	0.3766315083373233	0.6706108542912479	0.5445210270885829	0.4385884283298461	0.6525623865407586	0.6048358729233987	0.8062904106190013	0.6057051894034007	0.534261487298871	0.531746026836401	0.5500213176836716	0.4326885331674174	0.46384771722964374	0.685918101187214	0.595575621955546	0.5314573186963835	nan	0.5205479452054794	0.5472579754470923	0.423728813559322	nan	0.7894736842105263	nan	0.4285714285714286	59	38	49	106	130	102	338	43	170	32	78	15
damp	1.6926829268292682	0.7427664727237839	0.7353568712744165	0.6627438492219235	0.6586236426958079	0.8539171146243038	0.8150080908181543	0.6909682516377911	0.7331739331973759	0.6119172153603636	0.8630643555511794	0.7404254370292921	0.7861373195792966	0.7883594035826398	0.7904017109801617	0.6761265115193159	0.670854438409107	0.940759417966191	0.8914892127623751	0.7543192034549782	nan	0.5370370370370371	0.5313615110126738	0.5396825396825398	nan	0.5892857142857143	nan	0.4651162790697675	63	56	43	100	114	133	347	79	58	41	153	16
data	1.6059113300492611	-0.05919801624010712	-0.08021390374331538	-0.1095890410958904	-0.141509433962264	nan	-0.06914274737939752	-0.13235294117647056	0.7092812262036313	0.6156085392527113	1.0	0.5629162743741238	nan	0.0	nan	nan	nan	nan	nan	nan	nan	0.8538461538461539	0.8413591828225974	0.7804878048780488	0.7377049180327868	1.0	nan	0.7435897435897436	41	50	39	100	108	118	326	0	0	26	284	16
egg	1.6237113402061856	0.313204047258942	0.43723256229051977	0.12462520553244982	0.3591944445183517	0.7264399042196368	0.5089298426720976	0.42107989402434265	0.4977489422473358	0.28445440181739146	0.8094559700693149	0.4945397307637742	0.617937773905692	0.6593521303770619	0.6663543869629035	0.5782391846801267	0.6414691482802581	0.7675977782708526	0.6187707427242835	0.6532261979377313	nan	0.6017699115044248	0.6253811869575416	0.4285714285714286	nan	0.896551724137931	nan	0.5510204081632653	35	29	49	103	112	100	315	44	16	40	159	56
etterforskning	1.6567164179104477	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	nan	0.0	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	43	47	48	100	132	101	333	0	0	0	308	25
fag	1.6071428571428572	0.7892664167939903	0.7688546474228445	0.7288819875776398	0.6885572723855753	0.9931564782775856	0.7218624852051818	0.5567603088549367	0.8734980333776342	0.8098731564511295	0.997149163538518	0.7816468006514854	0.8218997286474572	0.8241514166438083	0.8144118394043827	0.7833235006170581	0.7520261345768605	1.0	0.7694076491456258	0.6599120175960898	nan	0.8538461538461537	0.8480725623582765	0.8775510204081632	nan	0.8888888888888888	nan	0.7777777777777778	49	45	36	100	102	113	315	25	8	13	261	8
fil	2.5956521739130434	0.8227891476733473	0.8453243721599797	0.8095844621218967	0.7856862927811366	1.0	0.927013045434098	0.9134600083797945	0.7916178114651905	0.7566028491169965	1.0	0.8745330070907402	0.8452179463827372	0.9007460340976279	0.9178129085016503	0.8314842797756623	0.799533469049835	0.9999999999999998	0.9333051797555604	0.9219544457292888	nan	0.8939393939393939	0.9114484503478811	0.8225806451612903	0.8153846153846154	1.0	nan	0.9117647058823529	62	36	34	190	192	215	597	161	3	7	67	359
forhold	1.5612244897959184	0.6494854012513213	0.6944260688648901	0.6296624363847194	0.6740180840504783	0.7100083623804077	0.7457827683541742	0.8296543512281418	0.7390442829477702	0.6241380235208458	0.6995062988575276	0.8996984795135382	0.8410156368643276	0.819674540748122	0.8172139970454549	0.7521121209972053	0.7164422840430106	0.866595720213578	0.8237466495060137	0.8329341499255817	nan	0.528	0.5180451127819549	0.368421052631579	nan	0.45238095238095233	nan	0.7333333333333334	38	42	45	102	104	100	306	61	102	28	103	12
formiddagen	1.690721649484536	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	nan	0.0	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	56	44	53	100	122	106	328	0	0	0	323	5
frakk	2.0881057268722465	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	nan	0.0	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100	97	78	124	130	220	474	0	0	0	433	41
gress	1.6421052631578947	-0.08588039867109654	-0.055539602775783736	-0.0673611111111112	-0.04376037204276151	-0.08750000000000013	-0.05463408746383247	nan	0.7536482992261503	0.6872595857829242	0.5943702728017085	1.0	-0.05198113899389781	-0.05513178464199714	-0.05513178464199714	-0.05513178464199714	-0.035748976164914695	nan	nan	nan	0.8285714285714285	0.8913043478260869	0.8907828282828283	0.8541666666666666	nan	0.8181818181818181	nan	1.0	48	44	46	100	110	102	312	13	0	4	283	12
horisont	1.7	0.3996512161893453	0.5109464385959667	0.6881991489869101	0.6605946829713576	0.13125646539811064	0.3559785925543403	0.5517690913481768	0.4814729327826831	0.6175585528462197	0.11331653328594604	0.6275077698194099	0.6619853359635557	0.6787385019431547	0.6725561606094711	0.766643808690893	0.6588800087275037	0.6319848274260245	0.5583877669232318	0.6190398457114957	nan	0.42567567567567566	0.4080988455988456	0.6428571428571428	nan	0.2272727272727273	nan	0.35416666666666663	56	44	48	100	119	121	340	114	32	56	116	22
husrom	1.7537688442211055	-0.012577160493827177	-0.016129032258064502	-0.016528925619834656	-0.02259887005649719	nan	-0.012577160493827177	-0.016528925619834656	0.920454642874466	0.903655104264585	1.0	0.903655104264585	nan	0.0	nan	nan	nan	nan	nan	nan	nan	0.965909090909091	0.967741935483871	0.9516129032258065	0.945054945054945	1.0	nan	0.9516129032258065	62	52	62	120	118	111	349	0	0	7	333	9
idiot	1.9162011173184357	0.44919073718789626	0.42930431711045514	0.42720184341955625	0.5010470609971759	0.4006661064786504	0.4229723062958862	0.3918534221683828	0.6160279351943353	0.6414434528718331	0.5929084163867052	0.5831984071211448	0.47817736724087956	0.437931591213093	0.4362997131042481	0.482197248676621	0.5064549321823223	0.43074978551640186	0.45779845697932536	0.3959521051197213	nan	0.5	0.49744593306237145	0.589041095890411	nan	0.4571428571428572	nan	0.4461538461538461	73	70	65	100	118	125	343	2	60	98	182	1
kart	1.6829268292682926	-0.03919181977252828	-0.024893361770194522	-0.05039682539682544	-0.03389106008793363	nan	-0.020270270270270174	-0.026315789473684292	0.8811369813597488	0.7633884079688449	1.0	0.8557727702737429	nan	0.0	nan	nan	nan	nan	nan	nan	nan	0.9349112426035502	0.9403640929064657	0.8888888888888888	0.9239130434782609	1.0	nan	0.9322033898305084	63	47	59	100	144	101	345	9	0	1	333	2
katt	1.9751552795031055	0.8149285335272439	0.8594827095107249	0.7875136243117417	0.8760249039334882	0.8369621500372106	0.8858774502098566	0.9181050366632106	0.8024051138332455	0.7140977515721961	0.7674260870372425	0.8833194529234121	0.8549987380770724	0.8749469776593355	0.8728032516705685	0.8342378803533212	0.8849674351840002	0.8632272530003793	0.9045259934261077	0.9209446216580046	nan	0.8369565217391304	0.8357967330002044	0.7704918032786885	nan	0.8545454545454545	nan	0.8823529411764706	61	55	68	100	112	106	318	139	16	6	138	19
kjemi	1.6020942408376964	0.3671715144807347	0.18939187527364132	0.4687416331994645	0.31053378035230106	-0.02352941176470602	-0.05297906275766051	-0.05947712418300655	0.820360735247782	0.8412322937327863	0.8666500213961653	0.7487984071727563	0.3597470799722925	0.4908087744614751	0.4908087744614751	0.4908087744614751	0.37721463829596874	nan	nan	nan	nan	0.8955223880597016	0.8957912457912457	0.8888888888888888	nan	0.9318181818181819	nan	0.8666666666666667	45	44	45	100	103	103	306	0	2	15	289	0
kloakk	1.6536585365853658	0.3427458883040262	0.20426968948224522	0.13888400187661276	0.006123550256893151	0.4655172413793104	0.26540219984097535	0.0	0.5506807889893066	0.5193045023696308	0.690307501877931	0.47012062394686016	0.35508061801666374	0.24238705057214815	0.2572765539643996	0.23971550665359717	0.1270784061563057	0.4626751115874943	0.2891959657414074	0.06943904365210717	nan	0.6728395061728395	0.6772019301770474	0.6428571428571428	nan	0.7446808510638299	nan	0.6440677966101696	56	47	59	100	136	103	339	0	1	86	250	2
landet	1.6981132075471699	0.7979538856409842	0.692163703728348	0.802042015572205	0.6864287580813128	0.7407334744382937	0.6389786578726471	0.5171273078643072	0.7182564916694505	0.7829214913110913	0.761758646453011	0.614981422066211	0.826219691254729	0.7731990092203215	0.776201192669905	0.8058823999946322	0.7267079288589643	0.8790490729915326	0.7738121099624994	0.6436721050235501	nan	0.6927710843373494	0.6853174603174604	0.8666666666666667	nan	0.6	nan	0.5892857142857143	60	50	56	100	144	116	360	71	6	35	239	9
leder	1.7864077669902914	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	nan	0.0	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	63	42	66	100	166	102	368	5	0	1	332	30
leilighet	1.6515151515151516	0.667287805428022	0.6194272162599712	0.6847954536401418	0.5677245663683532	0.7507608034083992	0.6301147136655836	0.5398995416184724	0.5503838659643638	0.5478475707422314	0.7437120845510814	0.5273800961999713	0.7264973257524387	0.7984201044437245	0.8059736872753418	0.6821876883046583	0.6513077490336477	0.9659092088013584	0.8730638871225889	0.7698241647200087	nan	0.5294117647058824	0.5255218302798287	0.8301886792452831	nan	0.4130434782608695	nan	0.33333333333333337	53	46	54	100	126	101	327	122	50	6	149	0
linse	1.6	0.6999753861003861	0.5102556047322602	0.7996102836155887	0.40282472816283776	0.6732260586229082	0.30234106298077135	0.005197153897895879	0.5040966786009541	0.7395313420177037	0.7059665483960299	0.16359442168965255	0.8169752276082185	0.7931877509014384	0.8229996714801522	0.8031391909454798	0.6055617200702101	1.0	0.8122297039487499	0.6658598234949767	nan	0.47191011235955055	0.4938953967992081	0.8620689655172413	nan	0.40909090909090906	0.2857142857142857	0.21052631578947367	29	22	38	100	103	101	304	96	45	26	71	66
lyng	1.575	0.8099195171026157	0.7593628928110202	0.8296703296703297	0.7777682843472317	0.7165532879818595	0.7136491910196915	0.6839647119875454	0.6482030066841667	0.7552402224111836	0.6415552371060287	0.5385476597597466	0.8133552380193504	0.7455755678447197	0.7422013352670663	0.8312276426704023	0.7763440971722564	0.7141684885491868	0.7121532086890177	0.6812078745816098	nan	0.875968992248062	0.8747412535206488	0.9148936170212766	nan	0.868421052631579	nan	0.8409090909090909	47	38	44	101	114	100	315	162	0	0	151	2
mål	2.0044642857142856	0.7520948971460836	0.6820568462453123	0.9169886414321052	0.7028921472451288	0.6313815524895977	0.5543574701126655	0.595677066965307	0.6239091903281504	0.8879291745059019	0.5893673893376432	0.5661872109779706	0.8441146280399416	0.8475588561859341	0.8463849333776499	0.9228002113433232	0.7780823031925587	0.8131849071227791	0.7939985049520932	0.8031696816668473	nan	0.6463414634146342	0.6423468612251102	0.8588235294117648	nan	0.5333333333333333	nan	0.5348837209302326	85	75	86	129	158	162	449	196	73	22	129	29
mening	1.6578947368421053	0.5990492057631053	0.3507063091888112	0.18386046638334952	0.10739247416737385	0.8274231678486997	0.5007228528592846	0.09136011086524054	0.3852080957143137	0.35204530781741894	0.7778824931530105	0.16586730390431337	0.6353226507210324	0.5171730467681406	0.5344273457610105	0.43528575006600706	0.3465608452536438	0.8390470785361211	0.6375833992403979	0.3289492086809032	nan	0.6935483870967742	0.7057772057772057	0.6428571428571428	nan	0.9189189189189189	nan	0.5555555555555556	42	37	45	100	109	106	315	61	2	6	211	35
operasjon	1.640625	0.5185930952661428	0.43039875868900435	0.4875987168527157	0.37859784772992067	0.5380922250686749	0.42573923342143527	0.2870729751403369	0.48645259851002354	0.4349811119332305	0.526131007918925	0.48034639087048536	0.6237631292752731	0.48266404718840067	0.5229127331244287	0.48993685628562844	0.3731065032420167	0.781256427614858	0.488292319436654	0.2975449154727995	nan	0.4545454545454546	0.44482384823848237	0.4878048780487805	nan	0.3666666666666667	nan	0.48	41	30	50	100	114	101	315	57	72	48	112	26
ørret	1.7793427230046948	0.0	0.0	0.0	0.0	nan	nan	nan	0.9858226020059223	0.9737487199914915	1.0	1.0	nan	0.0	nan	nan	nan	nan	nan	nan	0.9880952380952381	0.9950980392156863	0.9957264957264957	0.9871794871794872	0.9916666666666667	1.0	1.0	1.0	78	45	81	100	179	100	379	0	0	1	377	1
pære	2.045045045045045	0.7746229838129596	0.8062669991524531	0.9120183095592932	0.8419324414370348	0.7418198552792546	0.7420545873840035	0.8491781633063789	0.7752932100018324	0.8945223740751045	0.6884878888428573	0.8672206292196502	0.9010184056101075	0.920458262422954	0.9222119730340359	0.9622504486493764	0.8533175134851182	0.9054614357868291	0.8674887594155819	0.8989240346659021	nan	0.6870748299319728	0.6972541507024266	0.75	nan	0.5862068965517242	nan	0.7555555555555555	44	58	45	150	147	157	454	80	47	0	121	206
plattform	1.6570048309178744	0.4851480735489113	0.43031289911019266	0.5291310278453166	0.43317399570030024	0.5054312933623278	0.30595879405751614	0.21605478196364958	0.4500618792312061	0.39661694648359225	0.5365147406126394	0.42082277777894617	0.6110511862925664	0.5985089847838976	0.6439469903221652	0.5569061276411387	0.4694029728032797	0.969762275752854	0.5645702750084143	0.40517256757250286	nan	0.36134453781512604	0.3723356009070295	0.6	nan	0.33333333333333337	nan	0.18367346938775508	40	30	49	100	127	116	343	101	32	82	79	49
rad	2.2177777777777776	0.5122285430621129	0.5109935934655789	0.5352015937984258	0.5235795831133582	0.5240483975992298	0.49030004509970726	0.5431943607885514	0.6284224025301001	0.6153397278126603	0.7054257945695793	0.6800363831698503	0.5243168154126557	0.5502422253511801	0.5504128859860192	0.5493581628254083	0.5309542527111406	0.5458130075152842	0.5180099521464968	0.5560674876173655	nan	0.6499999999999999	0.6522769059226836	0.6352941176470588	nan	0.6724137931034483	nan	0.6491228070175439	85	58	57	155	177	167	499	83	11	126	113	166
rev	1.825242718446602	0.92965708517206	0.931090669807911	0.9480814548041439	0.9243381667533273	0.9243289163861141	0.9319495753017316	0.9076563507414571	0.9004609571813004	0.9289229272654144	0.8901809410689734	0.8695730181735802	0.9332834361315109	0.9313378011921256	0.9314172996853757	0.9476723796239511	0.9275577222104471	0.9283228743311511	0.9352273153337006	0.9182566451010247	nan	0.9313725490196079	0.9328336272780717	0.9682539682539683	nan	0.9135802469135803	nan	0.9166666666666666	63	81	60	128	110	138	376	221	8	1	144	2
ris	1.6218905472636815	0.535232483744606	0.6838528908021368	0.6411619354097231	0.8013174610632574	0.524608581964896	0.7139823113490371	0.9548381047630954	0.6714026865182099	0.6278366018469248	0.42928719742435795	0.9550915199594611	0.5421056154629937	0.7301131069989526	0.7109756162190303	0.637421982714015	0.8008685460645689	0.5397530493933185	0.720067992349822	0.9557518165497573	0.6730769230769231	0.801980198019802	0.7864661654135339	0.7428571428571429	nan	0.6428571428571428	nan	0.9736842105263158	35	28	38	100	117	109	326	158	16	36	40	76
sete	1.615	0.936636207131835	0.9226168278943369	0.9767133079020767	0.9631440989574248	-0.20933092535259723	0.3572419591095707	0.6806122448979592	0.9164384333337572	0.9712013815601728	0.39624746626146823	0.7882216761989249	0.9693485858820948	0.8770297580785518	0.7883987280635987	0.9809531628974623	0.9623671233772073	0.6504436355879909	0.6941369917394847	0.7337993857053429	nan	0.7407407407407407	0.6076312576312576	0.9038461538461539	nan	0.1333333333333333	nan	0.7857142857142857	52	15	14	100	113	110	323	102	44	34	74	69
skjerm	1.57	0.48898871984843617	0.32198787029374554	0.6380494505494505	0.26392324261901	0.3923417713415025	0.16832642826287003	-0.06932892835620375	0.35825034244806075	0.5770337498163314	0.4359576514855906	0.18976066277960912	0.756352297677617	0.5348608930374767	0.6112085926654021	0.6583203386475103	0.3761038810918956	0.9419557854561891	0.5196159354465084	0.2333496538925069	nan	0.4069767441860465	0.43284493284493286	0.8076923076923077	nan	0.2857142857142857	nan	0.20512820512820518	26	21	39	100	112	102	314	114	78	26	43	53
stoff	1.64	0.8551324642411692	0.8607852085310004	0.8208828960529353	0.853535857617386	0.8989769820971867	0.886309136947242	0.8525450650118204	0.796122030412603	0.7454625630448546	0.8489721355478665	0.7849716967632736	0.859758826764149	0.8551510826747831	0.8579454958056774	0.8241418454259518	0.8545871012837138	0.8976982097186703	0.886474237864195	0.8519964322724098	nan	0.8913043478260869	0.8952777777777777	0.84	nan	0.95	nan	0.8958333333333334	50	40	48	100	126	102	328	167	2	6	125	28
tro	1.731958762886598	-0.13679616153523022	-0.073644999194582	-0.41912031169318853	-0.29434634399788373	0.35159470321516895	0.3187020311851251	-0.2975274725274728	0.11329184251234825	-0.5573088587884327	0.48869733455996345	0.2889112666677607	0.36844474794649473	0.22534028098137782	0.26426089252625157	0.1677620216062968	0.10384348733906922	0.773163042045058	0.34103000950838885	-0.14814238607260025	nan	0.24786324786324787	0.2590277777777778	0.1333333333333333	nan	0.34375	nan	0.30000000000000004	45	32	40	100	125	111	336	57	9	86	122	62
tropp	1.770334928229665	-0.09715072128531332	-0.013574660633484337	-0.10833333333333339	-0.04543113450178882	-0.010000000000000009	0.026103052970869123	-0.008818342151675429	0.6907131020226152	0.6295547820640167	0.9215241957223098	0.6172012125406876	nan	0.0	0.0	nan	-0.011808033443107236	nan	0.034853574033876185	0.0	nan	0.8315789473684212	0.8432022892075569	0.791044776119403	nan	0.9607843137254902	nan	0.7777777777777778	67	51	72	109	161	100	370	0	0	39	327	4
varsel	1.696969696969697	-0.07248842523891508	-0.01940597555055401	0.00395503515871809	0.10395092419235397	-0.403225806451613	-0.2885227981621903	-0.13168896321070234	0.4088871692356848	0.43845159204487916	0.19782984222519806	0.566782770994309	0.2289420922753852	0.21687055034627506	0.21687055034627506	0.21687055034627506	0.14123689729858144	nan	nan	nan	nan	0.5493827160493827	0.547979797979798	0.48484848484848486	nan	0.40909090909090906	nan	0.75	66	44	52	100	135	101	336	0	2	86	247	1
