lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE	note
anfektelse	1929-1965_1970-2015	21	10	11	[17, 4]	[10, 0]	[7, 4]	[0.81, 0.19]	[1.0, 0.0]	[0.636, 0.364]	1	1	0	0.45957402378585516	1	3	1	3	3.7435897435897436	2.7596153846153846	3.0202020202020203	
bit	1929-1965_1970-2015	14	3	11	[10, 4]	[3, 0]	[7, 4]	[0.714, 0.286]	[1.0, 0.0]	[0.636, 0.364]	1	1	0	0.45957402378585516	1	3	1	3	4.0	2.309090909090909	2.409090909090909	
bølge	1929-1965_1970-2015	22	11	11	[11, 4, 3, 1, 1, 1, 1]	[6, 1, 0, 1, 1, 1, 1]	[5, 3, 3, 0, 0, 0, 0]	[0.5, 0.182, 0.136, 0.045, 0.045, 0.045, 0.045]	[0.545, 0.091, 0.0, 0.091, 0.091, 0.091, 0.091]	[0.455, 0.273, 0.273, 0.0, 0.0, 0.0, 0.0]	1	1	0	0.596221251485971	1	3	1	3	2.388888888888889	2.5208333333333335	2.3476190476190477	
damp	1929-1965_1970-2015	22	11	11	[16, 2, 2, 2]	[6, 2, 2, 1]	[10, 0, 0, 1]	[0.727, 0.091, 0.091, 0.091]	[0.545, 0.182, 0.182, 0.091]	[0.909, 0.0, 0.0, 0.091]	0	0	0	0.46363465010916044	1	3	1	3	2.316326530612245	3.6914893617021276	2.7475728155339807	questionable
data	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.9583333333333335	3.9270833333333335	3.8932038834951457	
egg	1929-1965_1970-2015	20	10	10	[18, 2]	[9, 1]	[9, 1]	[0.9, 0.1]	[0.9, 0.1]	[0.9, 0.1]	0	0	0	0.0	1	3	1	3	3.1625	3.054054054054054	3.3493975903614457	
etterforskning	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0	
fag	1929-1965_1970-2015	22	11	11	[21, 1]	[10, 1]	[11, 0]	[0.955, 0.045]	[0.909, 0.091]	[1.0, 0.0]	0	0	0	0.2168328719135303	1	3	1	3	3.3958333333333335	4.0	3.655	
fil	1929-1965_1970-2015	10	3	7	[6, 4]	[0, 3]	[6, 1]	[0.6, 0.4]	[0.0, 1.0]	[0.857, 0.143]	1	1	1	0.8302961801327811	1	3	1	3	4.0	3.119047619047619	1.4285714285714286	questionable
forhold	1929-1965_1970-2015	22	11	11	[13, 4, 4, 1]	[8, 0, 2, 1]	[5, 4, 2, 0]	[0.591, 0.182, 0.182, 0.045]	[0.727, 0.0, 0.182, 0.091]	[0.455, 0.364, 0.182, 0.0]	1	1	0	0.5001783381319931	1	3	1	3	2.8	2.4545454545454546	2.4754901960784315	
formiddagen	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0	
frakk	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0	
gress	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.7261904761904763	4.0	3.900990099009901	
horisont	1929-1965_1970-2015	22	11	11	[13, 5, 3, 1]	[7, 0, 3, 1]	[6, 5, 0, 0]	[0.591, 0.227, 0.136, 0.045]	[0.636, 0.0, 0.273, 0.091]	[0.545, 0.455, 0.0, 0.0]	1	1	1	0.6415727523011489	1	3	1	3	2.6666666666666665	2.8191489361702127	2.39	
husrom	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.977272727272727	3.9895833333333335	3.9761904761904763	
idiot	1929-1965_1970-2015	20	11	9	[20]	[11]	[9]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.28	3.4857142857142858	3.3655913978494625	
kart	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	3.88	3.939814814814815	
katt	1929-1965_1970-2015	19	11	8	[13, 5, 1]	[8, 2, 1]	[5, 3, 0]	[0.684, 0.263, 0.053]	[0.727, 0.182, 0.091]	[0.625, 0.375, 0.0]	0	0	0	0.27005569698459203	1	3	1	3	2.588235294117647	2.32	2.493827160493827	
kjemi	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.9886363636363638	3.8863636363636362	3.9514563106796117	
kloakk	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.9444444444444446	3.6666666666666665	3.7314814814814814	
landet	1929-1965_1970-2015	22	11	11	[18, 2, 1, 1]	[8, 1, 1, 1]	[10, 1, 0, 0]	[0.818, 0.091, 0.045, 0.045]	[0.727, 0.091, 0.091, 0.091]	[0.909, 0.091, 0.0, 0.0]	0	0	0	0.31338553970469046	1	3	1	3	2.7653061224489797	3.606382978723404	3.280701754385965	
leder	1929-1965_1970-2015	21	10	11	[21]	[10]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.975609756097561	4.0	4.0	
leilighet	1929-1965_1970-2015	22	11	11	[13, 9]	[2, 9]	[11, 0]	[0.591, 0.409]	[0.182, 0.818]	[1.0, 0.0]	1	0	1	0.7962420677263253	1	3	1	3	2.715686274509804	3.9302325581395348	1.8221153846153846	
linse	1929-1965_1970-2015	19	8	11	[10, 9]	[2, 6]	[8, 3]	[0.526, 0.474]	[0.25, 0.75]	[0.727, 0.273]	0	0	0	0.413899553656049	1	3	1	3	2.8333333333333335	2.4186046511627906	2.181159420289855	
lyng	1929-1965_1970-2015	22	11	11	[13, 8, 1]	[8, 3, 0]	[5, 5, 1]	[0.591, 0.364, 0.045]	[0.727, 0.273, 0.0]	[0.455, 0.455, 0.091]	0	0	0	0.29142690610191013	1	3	1	3	2.4680851063829787	2.1176470588235294	2.41	
mål	1929-1965_1970-2015	22	11	11	[11, 5, 3, 1, 1, 1]	[3, 2, 3, 1, 1, 1]	[8, 3, 0, 0, 0, 0]	[0.5, 0.227, 0.136, 0.045, 0.045, 0.045]	[0.273, 0.182, 0.273, 0.091, 0.091, 0.091]	[0.727, 0.273, 0.0, 0.0, 0.0, 0.0]	1	0	1	0.597205108852891	1	3	1	3	1.809090909090909	2.7641509433962264	1.969298245614035	
mening	1929-1965_1970-2015	21	10	11	[17, 4]	[7, 3]	[10, 1]	[0.81, 0.19]	[0.7, 0.3]	[0.909, 0.091]	1	0	1	0.22880025709022547	1	3	1	3	2.984848484848485	3.5125	3.25531914893617	questionable
operasjon	1929-1965_1970-2015	22	11	11	[14, 8]	[7, 4]	[7, 4]	[0.636, 0.364]	[0.636, 0.364]	[0.636, 0.364]	0	0	0	0.0	1	3	1	3	2.6666666666666665	2.627906976744186	2.795918367346939	
ørret	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	3.9903846153846154	4.0	
pære	1929-1965_1970-2015	16	6	10	[11, 4, 1]	[2, 3, 1]	[9, 1, 0]	[0.688, 0.25, 0.062]	[0.333, 0.5, 0.167]	[0.9, 0.1, 0.0]	1	0	1	0.5346504370356665	1	3	1	3	2.1538461538461537	3.558139534883721	2.330357142857143	
plattform	1929-1965_1970-2015	21	10	11	[11, 5, 4, 1]	[1, 5, 4, 0]	[10, 0, 0, 1]	[0.524, 0.238, 0.19, 0.048]	[0.1, 0.5, 0.4, 0.0]	[0.909, 0.0, 0.0, 0.091]	1	1	1	0.8745367750924979	1	3	1	3	2.6538461538461537	3.3068181818181817	1.903061224489796	
rad	1929-1965_1970-2015	17	9	8	[15, 1, 1]	[8, 1, 0]	[7, 0, 1]	[0.882, 0.059, 0.059]	[0.889, 0.111, 0.0]	[0.875, 0.0, 0.125]	0	0	0	0.34364953037245094	1	3	1	3	3.4857142857142858	2.6481481481481484	2.907142857142857	
rev	1929-1965_1970-2015	22	11	11	[13, 4, 4, 1]	[6, 1, 3, 1]	[7, 3, 1, 0]	[0.591, 0.182, 0.182, 0.045]	[0.545, 0.091, 0.273, 0.091]	[0.636, 0.273, 0.091, 0.0]	1	1	1	0.34147528376036673	1	3	1	3	1.891304347826087	2.3867924528301887	2.2242990654205608	
ris	1929-1965_1970-2015	20	10	10	[10, 6, 2, 2]	[5, 2, 2, 1]	[5, 4, 0, 1]	[0.5, 0.3, 0.1, 0.1]	[0.5, 0.2, 0.2, 0.1]	[0.5, 0.4, 0.0, 0.1]	0	0	0	0.3528615164390318	1	3	1	3	1.9594594594594594	1.9230769230769231	1.84375	
sete	1929-1965_1970-2015	21	10	11	[11, 6, 3, 1]	[5, 3, 1, 1]	[6, 3, 2, 0]	[0.524, 0.286, 0.143, 0.048]	[0.5, 0.3, 0.1, 0.1]	[0.545, 0.273, 0.182, 0.0]	0	0	0	0.2446906844190175	1	3	1	3	2.0714285714285716	2.347826086956522	2.4261363636363638	
skjerm	1929-1965_1970-2015	21	11	10	[9, 6, 5, 1]	[3, 2, 5, 1]	[6, 4, 0, 0]	[0.429, 0.286, 0.238, 0.048]	[0.273, 0.182, 0.455, 0.091]	[0.6, 0.4, 0.0, 0.0]	1	0	1	0.5901998228430421	1	3	1	3	2.3375	2.488095238095238	1.664835164835165	
stoff	1929-1965_1970-2015	21	10	11	[10, 9, 2]	[5, 3, 2]	[5, 6, 0]	[0.476, 0.429, 0.095]	[0.5, 0.3, 0.2]	[0.455, 0.545, 0.0]	0	0	0	0.35616956265713706	1	3	1	3	2.111111111111111	2.3979591836734695	2.231958762886598	
tro	1929-1965_1970-2015	20	10	10	[18, 1, 1]	[9, 0, 1]	[9, 1, 0]	[0.9, 0.05, 0.05]	[0.9, 0.0, 0.1]	[0.9, 0.1, 0.0]	0	0	0	0.31622776601683794	1	3	1	3	3.1944444444444446	3.182926829268293	2.792207792207792	
tropp	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	3.78	3.9017857142857144	
varsel	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.652173913043478	3.8979591836734695	3.7718446601941746	
