lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE
bank	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0
bystyrerepresentant	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0
driftsregnskap	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0
fane	1980-1990_2012-2019	18	7	11	[11, 5, 2]	[5, 0, 2]	[6, 5, 0]	[0.611, 0.278, 0.111]	[0.714, 0.0, 0.286]	[0.545, 0.455, 0.0]	1	1	0	0.6150734847260693	1	3	1	3	2.5714285714285716	2.4454545454545453	2.272727272727273
fjær	1980-1990_2012-2019	22	11	11	[20, 1]	[9, 1]	[11, 0]	[0.952, 0.048]	[0.9, 0.1]	[1.0, 0.0]	0	0	0	0.22781387210026416	1	3	1	3	3.3815789473684212	3.8076923076923075	3.409090909090909
innstilling	1980-1990_2012-2019	22	11	11	[15, 4, 2, 1]	[11, 0, 0, 0]	[4, 4, 2, 1]	[0.682, 0.182, 0.091, 0.045]	[1.0, 0.0, 0.0, 0.0]	[0.364, 0.364, 0.182, 0.091]	1	1	0	0.6554106579043849	1	3	1	3	4.0	2.176470588235294	2.4158878504672896
kanal	1980-1990_2012-2019	22	11	11	[13, 4, 2, 1, 1, 1]	[3, 4, 2, 1, 1, 0]	[10, 0, 0, 0, 0, 1]	[0.591, 0.182, 0.091, 0.045, 0.045, 0.045]	[0.273, 0.364, 0.182, 0.091, 0.091, 0.0]	[0.909, 0.0, 0.0, 0.0, 0.0, 0.091]	1	0	1	0.7344896841655342	1	3	1	3	1.7934782608695652	3.6875	1.962962962962963
kjøpepress	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.173076923076923	4.0	3.369565217391304
kode	1980-1990_2012-2019	22	11	11	[11, 6, 4, 1]	[7, 0, 4, 0]	[4, 6, 0, 1]	[0.5, 0.273, 0.182, 0.045]	[0.636, 0.0, 0.364, 0.0]	[0.364, 0.545, 0.0, 0.091]	1	1	1	0.7260646305251895	1	3	1	3	2.8636363636363638	2.3877551020408165	2.1717171717171717
kohort	1980-1990_2012-2019	22	11	11	[21, 1]	[11, 0]	[10, 1]	[0.955, 0.045]	[1.0, 0.0]	[0.909, 0.091]	0	0	0	0.2168328719135303	1	3	1	3	4.0	3.4895833333333335	3.608490566037736
kreft	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0
mappe	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.7549019607843137	3.4270833333333335	3.2612612612612613
melding	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.9361702127659575	3.97	3.9403669724770642
melk	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0
moment	1980-1990_2012-2019	22	11	11	[20, 1, 1]	[11, 0, 0]	[9, 1, 1]	[0.909, 0.045, 0.045]	[1.0, 0.0, 0.0]	[0.818, 0.091, 0.091]	0	0	0	0.3122142999639709	1	3	1	3	3.9607843137254903	2.7941176470588234	3.361904761904762
mus	1980-1990_2012-2019	22	11	11	[18, 3]	[7, 3]	[11, 0]	[0.857, 0.143]	[0.7, 0.3]	[1.0, 0.0]	1	0	1	0.4113330221378465	1	3	1	3	2.8863636363636362	3.9019607843137254	3.243119266055046
nett	1980-1990_2012-2019	22	11	11	[17, 2, 1]	[7, 2, 0]	[10, 0, 1]	[0.85, 0.1, 0.05]	[0.778, 0.222, 0.0]	[0.909, 0.0, 0.091]	0	0	0	0.40032010840323384	1	3	1	3	2.926470588235294	3.53	2.466292134831461
oppvarming	1980-1990_2012-2019	22	11	11	[14, 5, 3]	[11, 0, 0]	[3, 5, 3]	[0.636, 0.227, 0.136]	[1.0, 0.0, 0.0]	[0.273, 0.455, 0.273]	1	1	0	0.723176905251697	1	3	1	3	4.0	2.5	2.5694444444444446
overflate	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.425531914893617	2.88	3.262376237623762
papir	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.4270833333333335	3.4215686274509802	3.477064220183486
rådgiver	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.9711538461538463	4.0	3.981651376146789
særforbund	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0
side	1980-1990_2012-2019	22	11	11	[16, 3, 2, 1]	[8, 2, 1, 0]	[8, 1, 1, 1]	[0.727, 0.136, 0.091, 0.045]	[0.727, 0.182, 0.091, 0.0]	[0.727, 0.091, 0.091, 0.091]	0	0	0	0.23789918585176636	1	3	1	3	2.7346938775510203	2.9423076923076925	2.876146788990826
sky	1980-1990_2012-2019	22	11	11	[18, 1, 1]	[8, 1, 1]	[10, 0, 0]	[0.9, 0.05, 0.05]	[0.8, 0.1, 0.1]	[1.0, 0.0, 0.0]	0	0	0	0.3286815269308577	1	3	1	3	3.1805555555555554	3.897727272727273	3.4523809523809526
spill	1980-1990_2012-2019	22	11	11	[16, 3, 1]	[8, 2, 1]	[8, 1, 0]	[0.8, 0.15, 0.05]	[0.727, 0.182, 0.091]	[0.889, 0.111, 0.0]	0	0	0	0.23981301990567064	1	3	1	3	2.4903846153846154	3.0652173913043477	2.696078431372549
storby	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0
strøm	1980-1990_2012-2019	22	11	11	[10, 8, 3, 1]	[2, 6, 3, 0]	[8, 2, 0, 1]	[0.455, 0.364, 0.136, 0.045]	[0.182, 0.545, 0.273, 0.0]	[0.727, 0.182, 0.0, 0.091]	1	0	1	0.6138734713963794	1	3	1	3	2.4183673469387754	2.68	1.8878504672897196
stryk	1980-1990_2012-2019	22	11	11	[11, 9, 1]	[11, 0, 0]	[0, 9, 1]	[0.524, 0.429, 0.048]	[1.0, 0.0, 0.0]	[0.0, 0.9, 0.1]	1	1	1	1.0	1	3	1	3	4.0	3.1777777777777776	1.0154639175257731
Syden	1980-1990_2012-2019	20	9	11	[20]	[9]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	3.9727272727272727	4.0
tape	1980-1990_2012-2019	22	11	11	[8]	[4]	[4]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.9857142857142858	3.1315789473684212	3.263157894736842
tavle	1980-1990_2012-2019	22	11	11	[15, 7]	[4, 7]	[11, 0]	[0.682, 0.318]	[0.364, 0.636]	[1.0, 0.0]	1	0	1	0.6554106579043849	1	3	1	3	2.857142857142857	3.4375	2.3932038834951457
tendens	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	3.980769230769231	4.0
terror	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6538461538461537	4.0	3.8160377358490565
test	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	3.690909090909091	3.845833333333333
tjener	1980-1990_2012-2019	22	11	11	[16]	[10]	[6]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.8684210526315788	3.9642857142857144	3.7545454545454544
utakt	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.676470588235294	3.5714285714285716	3.75
vert	1980-1990_2012-2019	22	11	11	[13]	[3]	[10]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.75	3.590909090909091	2.7777777777777777
vindu	1980-1990_2012-2019	22	11	11	[20, 1, 1]	[11, 0, 0]	[9, 1, 1]	[0.909, 0.045, 0.045]	[1.0, 0.0, 0.0]	[0.818, 0.091, 0.091]	0	0	0	0.3122142999639709	1	3	1	3	4.0	2.9468085106382977	3.5046728971962615
virkelighet	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.7244897959183674	3.5784313725490198	3.6531531531531534
virus	1980-1990_2012-2019	22	11	11	[21, 1]	[11, 0]	[10, 1]	[0.955, 0.045]	[1.0, 0.0]	[0.909, 0.091]	0	0	0	0.2168328719135303	1	3	1	3	4.0	3.576923076923077	3.7546296296296298
